supplier_id,name,country,contact_name,email,rating,tier
S001,"Rodriguez, Figueroa and Sanchez Industries",Italy,Brian Yang,garzaanthony@robinson.org,4.1,2
S002,Hoffman Ltd Industries,South Korea,Kimberly Robinson,lisa02@henderson.com,4.8,1
S003,Davis Inc Industries,Germany,Gregory Baker,blairamanda@miller-carter.org,5.0,1
S004,Ray-Bush Industries,South Korea,Darren Roberts,wyattmichelle@ramirez-reid.com,3.2,1
S005,Wood and Sons Industries,USA,Mia Sutton,lynchgeorge@sanchez.net,3.3,1
S006,Cohen Inc Industries,Canada,Andrew Stewart,carl95@rios.info,3.8,1
S007,Baker and Sons Industries,South Korea,Kimberly Burgess,zhurst@robinson-bright.net,4.2,1
S008,Davis-Williams Industries,Japan,Mark Conner,ycarlson@carlson-mcdonald.com,4.9,3
S009,"Valencia, Smith and Le Industries",USA,Kimberly Adams,daniel62@smith-bowen.com,4.4,1
S010,"Gill, Romero and Rodriguez Industries",Italy,Sarah Romero,ericfarmer@ashley.org,4.5,2
S011,Burns-Rodriguez Industries,Japan,William Roman,brianhumphrey@miller.com,3.2,1
S012,"Cannon, Anderson and Alvarez Industries",South Korea,Deborah Brennan,ibrandt@vaughn.com,3.0,2
S013,Lam-Hayes Industries,Canada,Austin Smith,briannasmith@welch.com,3.5,2
S014,Palmer LLC Industries,Germany,Cindy Anderson,esanchez@lee-davis.biz,4.0,1
S015,Henderson-Owens Industries,Canada,Megan Joyce,brownjessica@wright.net,3.6,2
